Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,1.0033222,1.0,1.0,0.98134327,0,2,1.0,1.003876,0.9861111,1.0,4,1,0.96091205,1.006734,0.9754601,1.0161812,4,3,1.0066006,1.0174216,1.0068965,1.0
0,1,1,false,0,0,1.282392,0.7380952,1.4007782,0.78731346,0,2,1.0583942,0.75581396,1.0243056,0.7366667,4,1,0.90879476,1.043771,0.9723926,1.0550162,4,3,1.019802,1.0627178,1.0275862,0.97952217
0,1,2,false,0,0,0.9667774,1.1122448,1.0350194,1.1044776,0,2,0.95255476,0.95348835,0.96875,0.96666664,4,1,0.8859935,0.9124579,0.86809814,0.9611651,4,3,0.9933993,1.0452962,1.0068965,1.0546075
0,2,0,true,0,0,0.9302326,0.8469388,0.8793774,0.78731346,0,2,0.879562,0.81395346,0.8472222,0.83,4,1,0.95114005,1.1010101,0.993865,1.0744337,4,3,1.0165017,1.0836236,1.0206896,1.0068259
0,2,1,true,0,0,1.2956811,0.60884356,1.4902724,0.6865672,0,2,0.95255476,0.5503876,0.9583333,0.59,4,1,0.9218241,1.1212121,1.0092025,1.0809062,4,3,1.029703,1.1463414,1.0551724,0.9931741
0,2,2,true,0,0,0.9700997,1.0272108,1.1284046,1.0074627,0,2,0.9087591,0.87984496,0.9409722,0.91333336,4,1,0.86644953,0.94276094,0.84662575,0.9773463,4,3,0.990099,1.0905924,1.0068965,1.0887372
0,3,1,false,0,0,1.3156146,0.6632653,1.4785992,0.72761196,0,2,1.0182482,0.64341086,0.9722222,0.6533333,4,1,0.9218241,1.1111112,1.0092025,1.0711974,4,3,1.0165017,1.1045296,1.0344827,0.97269624
0,3,1,true,0,0,1.3023256,0.60884356,1.4669261,0.6865672,0,2,0.9671533,0.5542636,0.9305556,0.57,4,1,0.9153094,1.1010101,1.0153375,1.0841424,4,3,1.0231023,1.1567944,1.0517242,0.98293513
0,4,0,false,0,0,0.97342193,0.96938777,1.0311284,0.96268654,0,2,0.9379562,0.996124,0.9375,0.98333335,4,1,0.9739414,1.0639731,1.0,1.0453074,4,3,1.0,1.0278746,0.97931033,0.9897611
0,4,0,true,0,0,0.9302326,0.8027211,0.91050583,0.7835821,0,2,0.8759124,0.8255814,0.8333333,0.84,4,1,0.98045605,1.1414142,1.0306748,1.0809062,4,3,1.0132014,1.1010453,1.0103449,1.0068259
0,5,2,false,0,0,0.9401993,1.1122448,0.98054475,1.0485075,0,2,0.8978102,0.92248064,0.9444444,0.94666666,4,1,0.87296414,0.9124579,0.8619632,0.9385113,4,3,0.98349833,1.0836236,0.99310344,1.0750853
0,5,2,true,0,0,1.0033222,0.9183673,0.94163424,0.8507463,0,2,0.8868613,0.875969,0.9027778,0.89,4,1,0.90228015,1.010101,0.9141104,1.0064725,4,3,0.9933993,1.1149826,1.0,1.0921502
1,1,0,false,0,0,0.90697676,0.9659864,0.8832685,0.9029851,0,2,0.890511,0.93798447,0.8993056,0.94666666,4,1,0.98045605,1.0942761,1.006135,1.0550162,4,3,0.9966997,1.0487804,0.97931033,0.9897611
1,1,1,false,0,0,0.91362125,0.8741497,0.8171206,0.79850745,0,2,0.8613139,0.8992248,0.8819444,0.91,4,1,0.9837133,1.1043772,1.0214723,1.0291262,4,3,0.990099,1.0627178,0.9896552,0.9692833
1,1,2,false,0,0,0.90365446,0.9013606,0.9844358,0.9291045,0,2,0.9489051,0.9573643,0.9201389,0.9633333,4,1,0.93811077,1.0774411,0.9601227,1.0291262,4,3,0.990099,1.0487804,0.9655172,1.003413
1,2,0,true,0,0,0.96345514,0.96938777,0.8404669,0.8880597,0,2,0.8686131,0.9302326,0.8854167,0.9266667,4,1,0.9771987,1.1111112,1.0092025,1.0194175,4,3,0.990099,1.0418118,0.9862069,0.9658703
1,2,1,true,0,0,0.99335545,0.8469388,0.8677043,0.80597013,0,2,0.8540146,0.94186044,0.8958333,0.93666667,4,1,0.9543974,1.0841751,0.9907975,0.99676377,4,3,1.0,1.0592334,1.0068965,0.94880545
1,2,2,true,0,0,0.86710966,0.9455782,0.8171206,0.9291045,0,2,0.9014599,0.9031008,0.8541667,0.91,4,1,0.9543974,1.1144781,0.9846626,1.05178,4,3,1.0,1.0383276,0.98275864,0.9692833
1,3,1,false,0,0,0.9667774,0.89115644,0.8326848,0.8134328,0,2,0.8613139,0.91085273,0.8819444,0.9066667,4,1,0.9674267,1.0942761,1.0092025,1.0355988,4,3,0.9933993,1.0452962,0.99655175,0.94880545
1,3,1,true,0,0,1.0099667,0.8435374,0.80544746,0.7761194,0,2,0.8394161,0.9186047,0.8784722,0.91333336,4,1,0.9543974,1.080808,0.9969325,1.0064725,4,3,1.0,1.0557492,1.0068965,0.94880545
1,4,0,false,0,0,0.97342193,0.97959185,0.9143969,0.9141791,0,2,0.8978102,0.9612403,0.9027778,0.95,4,1,0.99348533,1.0942761,1.0245398,1.0420712,4,3,1.0,1.0522648,0.9862069,0.9931741
1,4,0,true,0,0,0.9833887,0.9727891,0.82101166,0.8992537,0,2,0.8722628,0.95348835,0.8888889,0.94666666,4,1,0.98697066,1.1010101,1.01227,1.02589,4,3,0.9933993,1.0313588,0.99310344,0.9556314
1,5,2,false,0,0,0.99335545,0.9183673,0.9766537,0.91791046,0,2,0.9379562,0.9612403,0.9097222,0.9633333,4,1,0.96091205,1.060606,0.9785276,1.0194175,4,3,0.990099,1.0418118,0.9724138,1.0
1,5,2,true,0,0,0.88372093,0.8707483,0.8560311,0.880597,0,2,0.9087591,0.9147287,0.8645833,0.92333335,4,1,0.9478827,1.080808,0.9723926,1.0291262,4,3,0.9867987,1.0139372,0.9655172,0.9658703
2,1,0,false,0,0,0.9900332,0.9897959,0.92607003,0.9291045,0,2,0.90510947,0.96511626,0.8958333,0.94666666,4,1,0.98045605,1.057239,1.006135,1.0194175,4,3,0.990099,1.0069686,0.9758621,0.9658703
2,1,1,false,0,0,1.0199336,0.9659864,0.92607003,0.8880597,0,2,0.890511,0.9496124,0.9027778,0.93,4,1,0.96091205,1.030303,0.9785276,0.99029124,4,3,0.990099,1.0243902,0.9896552,0.9522184
2,1,2,false,0,0,0.91362125,0.89455783,0.8560311,0.85820895,0,2,0.8722628,0.90697676,0.8611111,0.92333335,4,1,0.92508143,0.969697,0.9386503,0.98058254,4,3,0.9768977,0.9930314,0.962069,0.97269624
2,2,0,true,0,0,0.9700997,0.92517006,0.8754864,0.89179105,0,2,0.89416057,0.93798447,0.8854167,0.93,4,1,0.9218241,0.986532,0.9355828,0.99029124,4,3,0.990099,1.0383276,0.9896552,0.9931741
2,2,1,true,0,0,1.0033222,0.96938777,0.94941634,0.95149255,0,2,0.9160584,0.96511626,0.9097222,0.95,4,1,0.9153094,0.84511787,0.9233129,0.8867314,4,3,0.96039605,0.989547,0.9724138,0.9761092
2,2,2,true,0,0,0.9269103,0.9285714,0.8677043,0.8880597,0,2,0.8868613,0.94186044,0.8819444,0.94,4,1,0.9641694,0.9225589,0.9815951,0.9644013,4,3,0.9966997,1.0139372,0.99655175,0.9931741
2,3,1,false,0,0,1.0199336,0.97619045,0.9533074,0.9328358,0,2,0.9270073,0.96511626,0.9166667,0.94666666,4,1,0.9315961,0.969697,0.9263804,0.98058254,4,3,0.9768977,1.0383276,0.97931033,0.9897611
2,3,1,true,0,0,1.0132891,0.97619045,0.9377432,0.9365672,0,2,0.91240877,0.96511626,0.9097222,0.95,4,1,0.9153094,0.9158249,0.9141104,0.93203884,4,3,0.97029704,1.0034844,0.9724138,0.97269624
2,4,0,false,0,0,0.99335545,0.96258503,0.94941634,0.92164177,0,2,0.92335767,0.96511626,0.9027778,0.9533333,4,1,0.95114005,0.962963,0.9662577,0.99029124,4,3,0.9867987,1.0139372,0.9896552,0.9692833
2,4,0,true,0,0,0.96345514,0.95238096,0.91050583,0.9141791,0,2,0.91240877,0.9612403,0.8993056,0.95,4,1,0.92833877,0.962963,0.9417178,0.97411,4,3,0.990099,1.0069686,0.9862069,0.9590444
2,5,2,false,0,0,0.97342193,0.9455782,0.9377432,0.9029851,0,2,0.90510947,0.95348835,0.8819444,0.95666665,4,1,0.93485343,0.962963,0.9478528,0.99676377,4,3,0.98349833,1.0034844,0.9724138,0.97952217
2,5,2,true,0,0,0.8704319,0.90816325,0.82101166,0.8544776,0,2,0.8613139,0.8992248,0.8472222,0.91,4,1,0.9641694,0.956229,0.9785276,0.9644013,4,3,0.990099,0.9860627,0.97931033,0.9658703
3,1,0,false,0,0,0.96345514,0.9659864,0.91828793,0.9104478,0,2,0.90510947,0.9496124,0.8819444,0.93333334,4,1,0.93485343,0.9326599,0.9539877,0.97411,4,3,0.9867987,0.9825784,0.97931033,0.9453925
3,1,1,false,0,0,0.9269103,0.92517006,0.8793774,0.8544776,0,2,0.86496353,0.91085273,0.8472222,0.9033333,4,1,1.0716612,0.9158249,1.1165644,1.0064725,4,3,1.0561056,0.9303136,1.0275862,0.87713313
3,1,2,false,0,0,0.91362125,0.9421769,0.8910506,0.91791046,0,2,0.8868613,0.9263566,0.8576389,0.93333334,4,1,1.0716612,0.8518519,1.0828221,0.9126214,4,3,1.0165017,0.9860627,1.0172414,0.97269624
3,2,0,true,0,0,0.97342193,0.90816325,0.922179,0.88432837,0,2,0.919708,0.9186047,0.8715278,0.92333335,4,1,1.0618893,0.93939394,1.0766871,0.987055,4,3,1.0330033,0.9860627,1.0413793,0.9453925
3,2,1,true,0,0,1.0099667,0.91156465,0.94163424,0.8955224,0,2,0.92335767,0.93410856,0.875,0.92333335,4,1,1.1042346,0.9158249,1.1226994,1.0161812,4,3,1.0627062,0.9581882,1.0413793,0.9590444
3,2,2,true,0,0,1.0897009,0.85374147,1.0311284,0.83208954,0,2,0.9489051,0.9147287,0.8923611,0.91333336,4,1,1.1140065,0.8956229,1.1134969,0.9773463,4,3,1.0627062,0.9790941,1.0586207,0.98293513
3,3,1,false,0,0,0.8803987,0.8877551,0.8638132,0.8619403,0,2,0.8686131,0.8875969,0.8263889,0.89666665,4,1,1.0781759,0.86868685,1.1165644,0.98058254,4,3,1.0957096,0.902439,1.0620689,0.90784985
3,3,1,true,0,0,0.9401993,0.8469388,0.8638132,0.8395522,0,2,0.879562,0.8914729,0.8333333,0.9033333,4,1,1.1368078,0.8956229,1.1533742,0.9708738,4,3,1.1056106,0.8919861,1.0551724,0.9283276
3,4,0,false,0,0,0.95348835,0.9285714,0.93385214,0.8992537,0,2,0.91240877,0.9457364,0.8854167,0.93333334,4,1,1.0358306,0.94949496,1.0736196,0.9352751,4,3,1.0231023,1.0557492,1.0517242,0.9692833
3,4,0,true,0,0,0.99667776,0.8877551,0.9688716,0.8507463,0,2,0.9270073,0.90697676,0.8715278,0.91,4,1,1.1074919,0.956229,1.1257669,1.0032363,4,3,1.0726073,0.9581882,1.0689656,0.9215017
3,5,2,false,0,0,0.9302326,0.81292516,0.92607003,0.7835821,0,2,0.879562,0.86821705,0.8333333,0.8933333,4,1,1.0814332,0.8484849,1.1165644,0.88349515,4,3,1.0132014,0.9477352,1.0275862,0.9112628
3,5,2,true,0,0,0.90365446,0.8877551,0.7859922,0.8358209,0,2,0.8576642,0.90697676,0.8298611,0.9066667,4,1,1.1237785,0.9225589,1.1257669,0.9644013,4,3,1.0726073,0.9616725,1.0620689,0.9761092
4,1,0,false,0,0,0.9368771,0.9285714,0.92607003,0.880597,0,2,0.9087591,0.93798447,0.8784722,0.92333335,4,1,1.0618893,0.959596,1.0920246,0.93203884,4,3,1.0264026,1.0348432,1.0586207,0.9658703
4,1,1,false,0,0,1.0299003,0.84013605,0.9922179,0.80597013,0,2,0.9306569,0.8875969,0.8784722,0.89,4,1,1.1140065,0.969697,1.1441718,0.91909385,4,3,1.0429043,1.0174216,1.0724138,0.9692833
4,1,2,false,0,0,0.8903654,0.78911567,0.8754864,0.76492536,0,2,0.8613139,0.875969,0.8229167,0.9,4,1,1.1009772,0.8552188,1.1319019,0.9352751,4,3,1.0759076,0.902439,1.0655172,0.8805461
4,2,0,true,0,0,1.0332226,0.8877551,0.9922179,0.8619403,0,2,0.9270073,0.9263566,0.8819444,0.9,4,1,1.0781759,0.993266,1.0828221,0.9385113,4,3,1.0231023,1.0487804,1.0551724,1.0
