Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,1.006192,1.024735,0.99333334,1.022508,0,2,1.0034965,1.0130719,1.0101352,1.009288,4,1,0.9517685,1.0037314,0.9651568,0.9826389,4,3,0.9622642,1.0397351,1.0,1.040678
0,1,1,false,0,0,0.8297214,0.6042403,0.79333335,0.6334405,0,2,0.97202796,0.47058824,0.8851351,0.504644,4,1,0.96463025,1.1977612,1.0905924,1.125,4,3,1.0062894,1.1125828,1.0436137,1.0169492
0,1,2,false,0,0,0.9721362,0.9893993,0.89,1.0353698,0,2,1.0594406,1.0130719,1.0202702,1.0402477,4,1,0.93247586,1.1492537,0.9825784,1.1006944,4,3,1.0125786,1.0662252,1.0093458,1.1118644
0,2,0,true,0,0,0.81424147,0.79858655,0.80333334,0.8102894,0,2,0.87762237,0.751634,0.8614865,0.7678019,4,1,0.9710611,1.2201493,1.0731708,1.1354166,4,3,1.0062894,1.0529802,1.0249221,1.0067797
0,2,1,true,0,0,0.6749226,0.6254417,0.6566667,0.64951766,0,2,0.8496503,0.33006537,0.6993243,0.43034056,4,1,0.91961414,1.25,1.0836236,1.1631944,4,3,1.0062894,1.1092715,1.0342679,1.0
0,2,2,true,0,0,0.8328173,0.9222615,0.72,0.95498395,0,2,0.91608393,0.90849674,0.902027,0.95356035,4,1,0.98392284,1.1940298,1.0487804,1.1388888,4,3,1.0157232,1.0298014,1.0124611,1.0813559
0,3,1,false,0,0,0.78328174,0.64310956,0.75333333,0.659164,0,2,0.8811189,0.54901963,0.8378378,0.5975232,4,1,0.9678457,1.2276119,1.0905924,1.1527778,4,3,1.0031446,1.0695364,1.0311526,1.0101695
0,3,1,true,0,0,0.68111455,0.64310956,0.62666667,0.659164,0,2,0.82167834,0.39215687,0.7364865,0.501548,4,1,0.9356913,1.25,1.0905924,1.1631944,4,3,1.0031446,1.0728477,1.0342679,0.95932204
0,4,0,false,0,0,0.8668731,0.8091873,0.8233333,0.86173636,0,2,0.9440559,0.86928105,0.9256757,0.876161,4,1,0.9871383,1.2238806,1.066202,1.1527778,4,3,0.9842767,1.0231788,1.0124611,1.0271187
0,4,0,true,0,0,0.7863777,0.795053,0.7266667,0.8327974,0,2,0.84615386,0.8039216,0.8074324,0.84829724,4,1,0.99678457,1.238806,1.0801394,1.1666666,4,3,0.9874214,1.0298014,1.0186915,1.0101695
0,5,2,false,0,0,0.9752322,1.0,0.8333333,1.0675241,0,2,1.0524476,0.99346405,1.0,1.0402477,4,1,0.926045,1.1492537,0.9651568,1.1111112,4,3,0.9779874,1.0264901,0.99688476,1.101695
0,5,2,true,0,0,0.8266254,0.9222615,0.72333336,0.9389067,0,2,0.8916084,0.9150327,0.8682432,0.97832817,4,1,0.99356914,1.2052239,1.0557492,1.1493056,4,3,0.990566,1.0165563,1.0093458,1.0372882
1,1,0,false,0,0,0.98142415,0.9293286,0.9166667,0.9517685,0,2,0.9300699,0.9836601,0.9527027,0.996904,4,1,0.95498395,1.1119403,0.9825784,1.0625,4,3,0.8805031,0.9933775,0.97819316,1.0169492
