Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,0.9817518,1.011236,0.99678457,1.0,0,2,0.98916966,1.0,0.99375,1.0,4,1,0.96875,0.98376626,0.9739414,0.9517241,4,3,0.96099293,0.96463025,0.97029704,0.94055945
0,1,1,false,0,0,1.0328467,0.5355805,1.0385852,0.5962264,0,2,0.9855596,0.52962965,1.121875,0.5972222,4,1,1.0125,1.0714285,1.068404,1.0103449,4,3,1.0,0.95498395,1.039604,0.75174826
0,1,2,false,0,0,1.0,1.1498127,1.0160772,1.1283019,0,2,0.9133574,1.0777777,0.903125,1.0798612,4,1,0.86875,0.8798701,0.82410425,0.8586207,4,3,0.8546099,0.95498395,0.88448846,1.0769231
0,2,0,true,0,0,0.919708,0.87265915,0.99678457,0.9018868,0,2,0.89169675,0.9037037,0.890625,0.9027778,4,1,0.965625,1.0064934,0.9641694,0.92413795,4,3,0.9113475,0.9163987,0.96039605,0.8426573
0,2,1,true,0,0,0.76642334,0.5955056,0.85209006,0.7169811,0,2,0.8736462,0.46296296,0.890625,0.5381944,4,1,0.959375,0.97077924,0.99348533,0.9413793,4,3,0.9255319,0.903537,0.9867987,0.66433567
0,2,2,true,0,0,1.0182482,0.7153558,1.096463,0.79622644,0,2,0.9422383,0.8888889,0.9375,0.9236111,4,1,0.959375,0.9448052,0.97068405,0.9310345,4,3,0.9148936,0.8971061,0.96039605,0.75874126
0,3,1,false,0,0,0.8759124,0.46441948,0.81672025,0.7056604,0,2,1.0216607,0.2888889,1.040625,0.44444445,4,1,1.003125,0.96103895,1.0521172,1.0068965,4,3,1.0177305,0.9614148,1.0330033,0.7097902
0,3,1,true,0,0,0.8211679,0.4307116,0.59807074,0.7018868,0,2,1.0180506,0.4814815,1.0875,0.5,4,1,1.0125,0.89285713,1.0390879,0.97931033,4,3,1.0035461,0.9581994,1.0165017,0.6363636
0,4,0,false,0,0,0.9014599,0.80898875,0.8392283,0.9622642,0,2,0.88447654,0.91481483,0.8875,0.9131944,4,1,0.99375,1.0162338,0.98697066,0.9758621,4,3,0.9680851,0.95498395,0.97359735,0.7902098
0,4,0,true,0,0,0.850365,0.74531835,0.7845659,0.8792453,0,2,0.8519856,0.7925926,0.865625,0.8125,4,1,0.990625,1.012987,0.99674267,0.9655172,4,3,0.96099293,0.9710611,0.980198,0.77272725
