Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,1.0,1.0132014,1.0070175,1.0100335,0,2,1.0202702,1.0094937,1.0140351,1.0124611,4,1,1.0064934,1.0129449,0.9861111,0.99068326,4,3,0.983871,0.9769737,0.9807692,0.96644294
0,1,1,false,0,0,0.9875,0.83168316,0.98245615,0.8561873,0,2,0.9054054,0.65822786,0.94736844,0.5576324,4,1,0.9935065,1.0388349,1.03125,0.99378884,4,3,1.032258,0.9375,1.0416666,0.9328859
0,1,2,false,0,0,1.053125,1.019802,1.0491228,1.0367893,0,2,1.0912162,1.0253165,1.045614,1.0280374,4,1,1.012987,1.05178,0.9895833,1.0062112,4,3,1.0,0.9802632,0.99038464,0.97651005
0,2,0,true,0,0,0.9875,0.9471947,0.97894734,0.9765886,0,2,1.0033784,0.971519,0.98245615,0.9657321,4,1,1.0162338,1.0809062,1.0069444,1.0124223,4,3,1.0064516,0.9309211,1.0032052,0.9261745
0,2,1,true,0,0,0.9125,0.6138614,0.95789474,0.70234114,0,2,1.0405406,0.23734178,1.431579,0.211838,4,1,0.9805195,1.1067961,1.0798612,1.0186335,4,3,1.0548387,0.84539473,1.0897436,0.8557047
0,2,2,true,0,0,1.346875,0.9570957,1.3403509,1.0468228,0,2,1.277027,1.1170886,1.1614035,1.1308411,4,1,0.97727275,1.0744337,0.9305556,1.015528,4,3,0.9645161,0.9177632,0.9358974,0.95302016
0,3,1,false,0,0,0.96875,0.7425743,0.96842104,0.81270903,0,2,0.8817568,0.6329114,0.9649123,0.5638629,4,1,1.0194805,1.1165049,1.0451388,1.0372671,4,3,1.032258,0.87828946,1.0352564,0.9127517
0,3,1,true,0,0,0.85625,0.64026403,0.8877193,0.71571904,0,2,0.9391892,0.26265824,1.1719298,0.19314642,4,1,0.97727275,1.0841424,1.0590278,1.0031056,4,3,1.0387096,0.8355263,1.051282,0.84563756
0,4,0,false,0,0,0.984375,0.96369636,0.98245615,0.99331105,0,2,1.0067568,0.98734176,0.98245615,0.97819316,4,1,1.0162338,1.0938511,1.0,1.0217391,4,3,1.0032258,0.8684211,0.99038464,0.909396
0,4,0,true,0,0,0.928125,0.9273927,0.9368421,0.95652175,0,2,0.972973,0.9493671,0.9614035,0.94392526,4,1,1.0194805,1.0906149,1.0069444,1.0217391,4,3,1.0064516,0.8815789,0.9967949,0.909396
