Gesture,Times,Line1,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,SG1_8,Line2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7,SG2_8,SG2_9
7,0,0,1.1647059,1.031348,0.9889706,0.98755187,0.8293651,0.9882353,1.1382114,0.8898305,0.91129035,1,0.93835616,0.8580858,1.0701754,1.0068027,0.9337979,1.0266666,1.0,0.8549618,0.96099293,0.8988764
7,0,0,1.1647059,1.031348,0.9889706,0.98755187,0.8293651,0.9882353,1.1382114,0.8898305,0.91129035,1,0.93835616,0.8580858,1.0701754,1.0068027,0.9337979,1.0266666,1.0,0.8549618,0.96099293,0.8988764
7,0,0,1.1647059,1.031348,0.9889706,0.98755187,0.8293651,0.9882353,1.1382114,0.8898305,0.91129035,1,0.93835616,0.8580858,1.0701754,1.0068027,0.9337979,1.0266666,1.0,0.8549618,0.96099293,0.8988764
7,0,0,1.1647059,1.031348,0.9889706,0.98755187,0.8293651,0.9882353,1.1382114,0.8898305,0.91129035,1,0.93835616,0.8580858,1.0701754,1.0068027,0.9337979,1.0266666,1.0,0.8549618,0.96099293,0.8988764
7,0,0,1.1647059,1.031348,0.9889706,0.98755187,0.8293651,0.9882353,1.1382114,0.8898305,0.91129035,1,0.93835616,0.8580858,1.0701754,1.0068027,0.9337979,1.0266666,1.0,0.8549618,0.96099293,0.8988764
7,0,0,1.1568627,1.031348,0.9852941,0.98755187,0.8293651,0.9882353,1.1341463,0.88559324,0.9032258,1,0.93835616,0.8547855,1.0666667,1.0034014,0.9337979,1.0266666,1.0,0.851145,0.95035464,0.8913858
7,0,0,1.1568627,1.031348,0.9852941,0.98755187,0.82539684,0.9843137,1.1341463,0.88559324,0.9072581,1,0.9349315,0.85148513,1.0666667,1.0,0.9337979,1.0266666,1.0,0.8396947,0.95035464,0.8913858
7,0,0,1.1490196,1.031348,0.9852941,0.98755187,0.82539684,0.9843137,1.1341463,0.88135594,0.9032258,1,0.9349315,0.85148513,1.0596491,1.0,0.9337979,1.0266666,1.0,0.82824427,0.95035464,0.8876405
7,0,0,1.1490196,1.031348,0.9852941,0.98755187,0.8293651,0.9843137,1.1341463,0.88559324,0.9032258,1,0.9349315,0.85148513,1.0631579,1.0,0.9337979,1.0266666,1.0,0.83587784,0.9539007,0.8913858
7,0,0,1.1333333,1.0282131,0.9852941,0.9834025,0.82539684,0.9843137,1.1382114,0.88559324,0.9032258,1,0.9349315,0.85148513,1.0631579,1.0,0.9303136,1.03,1.0,0.8396947,0.9539007,0.8876405
7,0,0,1.1529412,1.031348,0.9889706,0.9834025,0.8293651,0.9843137,1.1422764,0.88559324,0.91129035,1,0.93835616,0.85148513,1.0631579,1.0,0.9337979,1.03,1.0,0.84732825,0.9574468,0.8913858
7,0,0,1.1647059,1.0282131,0.9852941,0.9792531,0.8293651,0.9843137,1.1422764,0.8898305,0.91129035,1,0.9349315,0.85148513,1.0666667,1.0,0.9303136,1.0266666,0.99658704,0.84351146,0.9574468,0.8913858
7,0,0,1.1647059,1.0282131,0.9889706,0.9834025,0.8293651,0.9843137,1.1422764,0.88559324,0.91129035,1,0.9349315,0.85148513,1.0631579,1.0,0.9303136,1.0266666,0.99658704,0.84351146,0.9574468,0.8951311
7,0,0,1.1647059,1.0282131,0.9889706,0.9834025,0.8333333,0.9843137,1.1422764,0.88559324,0.91129035,1,0.9349315,0.85148513,1.0631579,1.0,0.9303136,1.0266666,0.99658704,0.84732825,0.9574468,0.8951311
7,0,0,1.1607844,1.0282131,0.9889706,0.9834025,0.8214286,0.9882353,1.1382114,0.88135594,0.9032258,1,0.93835616,0.85148513,1.0631579,1.0,0.9303136,1.0266666,0.99658704,0.83587784,0.95035464,0.8951311
7,0,0,1.1803921,1.031348,0.9889706,0.9834025,0.82539684,0.9843137,1.1422764,0.88135594,0.9072581,1,0.93835616,0.8547855,1.0631579,1.0,0.9303136,1.0266666,1.0,0.8396947,0.9539007,0.8988764
