Gesture,Times,Line1,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,SG1_8,Line2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7,SG2_8,SG2_9
0,0,0,1.0542636,0.96907216,0.99104476,0.9402516,1.0,1.0062112,0.99270076,0.7893175,0.78210115,1,0.95522386,0.8836478,0.9965398,1.0363036,1.25,0.97482014,1.0379311,0.9822695,0.92542374,0.8962264
0,0,0,1.0542636,0.96907216,0.99104476,0.9402516,1.0,1.0062112,0.99270076,0.7893175,0.78210115,1,0.95522386,0.8836478,0.9965398,1.0363036,1.25,0.97482014,1.0379311,0.9822695,0.92542374,0.8962264
0,0,0,1.0542636,0.96907216,0.99104476,0.9402516,1.0,1.0062112,0.99270076,0.7893175,0.78210115,1,0.95522386,0.8836478,0.9965398,1.0363036,1.25,0.97482014,1.0379311,0.9822695,0.92542374,0.8962264
0,0,0,1.0542636,0.96907216,0.99104476,0.9402516,1.0,1.0062112,0.99270076,0.7893175,0.78210115,1,0.95522386,0.8836478,0.9965398,1.0363036,1.25,0.97482014,1.0379311,0.9822695,0.92542374,0.8962264
0,0,0,1.0542636,0.96907216,0.99104476,0.9402516,1.0,1.0062112,0.99270076,0.7893175,0.78210115,1,0.95522386,0.8836478,0.9965398,1.0363036,1.25,0.97482014,1.0379311,0.9822695,0.92542374,0.8962264
0,0,0,1.0697675,0.96907216,0.99104476,0.9402516,1.0039526,1.0093168,0.99635035,0.79228485,0.79766536,1,0.95522386,0.8867925,0.9965398,1.0363036,1.25,0.97482014,1.0379311,0.9858156,0.92542374,0.8993711
0,0,0,1.0542636,0.96907216,0.99104476,0.9402516,1.0039526,1.0062112,0.99270076,0.79228485,0.7859922,1,0.95522386,0.8836478,0.9930796,1.0330033,1.2466667,0.971223,1.0379311,0.9858156,0.92542374,0.8962264
0,0,0,1.0930233,0.96907216,0.99104476,0.9433962,1.0039526,1.0062112,0.99270076,0.79228485,0.7937743,1,0.958209,0.8867925,0.9930796,1.0363036,1.25,0.97482014,1.0379311,0.9893617,0.92542374,0.8962264
0,0,0,1.0697675,0.96907216,0.99104476,0.9433962,1.0,1.0062112,0.99270076,0.79228485,0.78988326,1,0.95522386,0.8836478,0.9930796,1.0330033,1.25,0.971223,1.0379311,0.9822695,0.9220339,0.8930818
0,0,0,1.0697675,0.96907216,0.99104476,0.9433962,1.0,1.0062112,0.99270076,0.79228485,0.78210115,1,0.95522386,0.8836478,0.9930796,1.0363036,1.25,0.971223,1.0379311,0.9787234,0.92542374,0.8930818
0,0,0,1.0697675,0.96907216,0.99104476,0.9433962,1.0,1.0062112,0.99635035,0.7893175,0.78988326,1,0.95522386,0.8836478,0.9930796,1.0363036,1.25,0.971223,1.0379311,0.9858156,0.92542374,0.8930818
0,0,0,1.0465117,0.96907216,0.99104476,0.9433962,1.0,1.0062112,0.99635035,0.7893175,0.78210115,1,0.95522386,0.8836478,0.9930796,1.0330033,1.2466667,0.971223,1.0379311,0.9716312,0.9220339,0.8930818
0,0,0,1.0542636,0.96907216,0.99104476,0.9433962,1.0039526,1.0062112,0.99635035,0.7893175,0.7937743,1,0.95522386,0.8836478,0.9930796,1.0330033,1.25,0.971223,1.0379311,0.9751773,0.9220339,0.8930818
0,0,0,1.0620155,0.96907216,0.99104476,0.9433962,1.0039526,1.0062112,0.99635035,0.7893175,0.7937743,1,0.95522386,0.8867925,0.9965398,1.0363036,1.25,0.97482014,1.0379311,0.9787234,0.9220339,0.8962264
