Gesture,Times,Line1,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,SG1_8,Line2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7,SG2_8,SG2_9
16,0,0,0.95571953,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.994302,1.0032895,0.9597523,1,0.9639344,0.9433333,0.9586777,0.98058254,0.9803371,1.0,0.9817518,1.0,0.982906,0.95640326
16,0,0,0.95571953,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.994302,1.0032895,0.9597523,1,0.9639344,0.9433333,0.9586777,0.98058254,0.9803371,1.0,0.9817518,1.0,0.982906,0.95640326
16,0,0,0.95571953,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.994302,1.0032895,0.9597523,1,0.9639344,0.9433333,0.9586777,0.98058254,0.9803371,1.0,0.9817518,1.0,0.982906,0.95640326
16,0,0,0.95571953,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.994302,1.0032895,0.9597523,1,0.9639344,0.9433333,0.9586777,0.98058254,0.9803371,1.0,0.9817518,1.0,0.982906,0.95640326
16,0,0,0.95571953,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.994302,1.0032895,0.9597523,1,0.9639344,0.9433333,0.9586777,0.98058254,0.9803371,1.0,0.9817518,1.0,0.982906,0.95640326
16,0,0,0.95571953,0.96113074,0.97923875,0.9887955,0.98,0.9941176,0.997151,1.0032895,0.9628483,1,0.9639344,0.9433333,0.9586777,0.98058254,0.9803371,1.0,0.9817518,1.0095847,0.982906,0.95640326
16,0,0,0.94833946,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.994302,1.0032895,0.95356035,1,0.9639344,0.9433333,0.95454544,0.9773463,0.9803371,1.0,0.9817518,1.0,0.980057,0.9128065
16,0,0,0.96309966,0.96113074,0.982699,0.9887955,0.98,0.9941176,0.997151,1.0032895,0.9597523,1,0.9639344,0.9433333,0.95454544,0.9773463,0.9803371,1.0,0.9817518,1.0095847,0.982906,0.9182561
16,0,0,0.9520295,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.994302,1.0032895,0.9597523,1,0.9639344,0.94,0.95454544,0.9773463,0.9803371,1.0,0.9817518,1.0031949,0.980057,0.92098093
16,0,0,0.96309966,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.997151,1.0032895,0.9628483,1,0.9639344,0.9433333,0.95454544,0.9773463,0.9803371,1.0,0.9817518,1.0063897,0.980057,0.9291553
16,0,0,0.9704797,0.96113074,0.97923875,0.9887955,0.98,0.9941176,0.997151,1.0032895,0.9628483,1,0.9639344,0.9433333,0.95454544,0.98058254,0.9803371,1.0,0.9817518,1.0031949,0.980057,0.9291553
16,0,0,0.9815498,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.997151,1.0032895,0.95665634,1,0.9639344,0.94,0.95454544,0.98058254,0.9803371,1.0,0.9817518,1.0,0.97720796,0.9346049
16,0,0,0.9704797,0.96113074,0.97923875,0.9887955,0.976,0.9941176,0.997151,1.0032895,0.95665634,1,0.9639344,0.94,0.95454544,0.98058254,0.9803371,1.0,0.9817518,1.0,0.980057,0.9373297
16,0,0,0.9778598,0.96113074,0.97923875,0.9887955,0.98,0.9941176,0.997151,1.0032895,0.9597523,1,0.9639344,0.94,0.95454544,0.98058254,0.9803371,0.9972826,0.9817518,1.0,0.97720796,0.9400545
