Gesture,Times,Line1,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,SG1_8,Line2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7,SG2_8,SG2_9
5,0,0,0.8981481,1.0261194,0.9236364,1.1174377,1.1052631,0.9448819,0.94461536,1.0244648,1.0035714,1,0.8100358,1.4137931,1.2012987,1.0945122,0.9372694,1.0,1.0618181,0.9527027,0.9890909,0.9774194
5,0,0,0.8981481,1.0261194,0.9236364,1.1174377,1.1052631,0.9448819,0.94461536,1.0244648,1.0035714,1,0.8100358,1.4137931,1.2012987,1.0945122,0.9372694,1.0,1.0618181,0.9527027,0.9890909,0.9774194
5,0,0,0.8981481,1.0261194,0.9236364,1.1174377,1.1052631,0.9448819,0.94461536,1.0244648,1.0035714,1,0.8100358,1.4137931,1.2012987,1.0945122,0.9372694,1.0,1.0618181,0.9527027,0.9890909,0.9774194
5,0,0,0.8981481,1.0261194,0.9236364,1.1174377,1.1052631,0.9448819,0.94461536,1.0244648,1.0035714,1,0.8100358,1.4137931,1.2012987,1.0945122,0.9372694,1.0,1.0618181,0.9527027,0.9890909,0.9774194
5,0,0,0.8981481,1.0261194,0.9236364,1.1174377,1.1052631,0.9448819,0.94461536,1.0244648,1.0035714,1,0.8100358,1.4137931,1.2012987,1.0945122,0.9372694,1.0,1.0618181,0.9527027,0.9890909,0.9774194
5,0,0,0.8981481,1.0223881,0.92,1.1103203,1.1090225,0.9448819,0.94153845,1.0214068,1.0071429,1,0.8100358,1.4099617,1.1980519,1.0945122,0.9335793,0.99646646,1.0581818,0.9493243,0.98545456,0.9774194
5,0,0,0.904321,1.0223881,0.92,1.1067616,1.1165414,0.9448819,0.94461536,1.0214068,1.0071429,1,0.8100358,1.4061303,1.1980519,1.0884147,0.9372694,1.0,1.0581818,0.9527027,0.98545456,0.9903226
5,0,0,0.9259259,1.0223881,0.92,1.1103203,1.1203008,0.9448819,0.94461536,1.0214068,1.0107143,1,0.8136201,1.4061303,1.1948051,1.0914634,0.9409594,1.0,1.0581818,0.9594595,0.9890909,0.9903226
5,0,0,0.904321,1.0223881,0.92,1.1103203,1.1203008,0.9448819,0.94461536,1.0183486,1.0107143,1,0.8136201,1.4061303,1.1948051,1.0914634,0.9372694,1.0035336,1.0581818,0.9594595,0.98545456,0.9903226
5,0,0,0.9197531,1.0223881,0.9236364,1.1103203,1.1203008,0.9448819,0.94461536,1.0183486,1.0107143,1,0.8172043,1.4061303,1.1948051,1.0914634,0.9409594,1.0035336,1.0581818,0.9662162,0.9890909,0.9935484
