Gesture,Times,Line1,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,SG1_8,Line2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7,SG2_8,SG2_9
2,0,0,0.8762542,0.8150685,0.71972317,0.92121214,0.88535035,0.9023569,1.2392026,1.0422078,0.9290541,1,1.0082988,1.1977612,1.0033557,1.0204679,0.8712121,1.0193548,0.99415207,0.9962406,1.0413793,1.0
2,0,0,0.8762542,0.8150685,0.71972317,0.92121214,0.88535035,0.9023569,1.2392026,1.0422078,0.9290541,1,1.0082988,1.1977612,1.0033557,1.0204679,0.8712121,1.0193548,0.99415207,0.9962406,1.0413793,1.0
2,0,0,0.8762542,0.8150685,0.71972317,0.92121214,0.88535035,0.9023569,1.2392026,1.0422078,0.9290541,1,1.0082988,1.1977612,1.0033557,1.0204679,0.8712121,1.0193548,0.99415207,0.9962406,1.0413793,1.0
2,0,0,0.8762542,0.8150685,0.71972317,0.92121214,0.88535035,0.9023569,1.2392026,1.0422078,0.9290541,1,1.0082988,1.1977612,1.0033557,1.0204679,0.8712121,1.0193548,0.99415207,0.9962406,1.0413793,1.0
2,0,0,0.8762542,0.8150685,0.71972317,0.92121214,0.88535035,0.9023569,1.2392026,1.0422078,0.9290541,1,1.0082988,1.1977612,1.0033557,1.0204679,0.8712121,1.0193548,0.99415207,0.9962406,1.0413793,1.0
2,0,0,0.89632106,0.8082192,0.7231834,0.92121214,0.888535,0.9057239,1.2259136,1.0454545,0.9391892,1,1.0082988,1.1865672,1.0,1.0146198,0.8787879,1.0225806,0.99415207,0.99248123,1.0413793,1.0030675
2,0,0,0.89632106,0.80136985,0.7404844,0.92424244,0.89490443,0.9124579,1.2192692,1.0519481,0.9391892,1,1.0124482,1.1865672,0.9966443,1.0116959,0.8901515,1.0225806,0.99415207,0.9962406,1.0448276,1.006135
2,0,0,0.89632106,0.7979452,0.74394464,0.92424244,0.89490443,0.9124579,1.2059801,1.0584415,0.9324324,1,1.0082988,1.1865672,0.9966443,1.0087719,0.8901515,1.0258064,0.99415207,0.9849624,1.0448276,1.0030675
2,0,0,0.9130435,0.80136985,0.7474049,0.92424244,0.89490443,0.9158249,1.2026578,1.0616883,0.9425676,1,1.0124482,1.1865672,0.9966443,1.0087719,0.8939394,1.0258064,0.99122804,0.9887218,1.0448276,1.0092025
2,0,0,0.90301,0.79452056,0.74394464,0.92424244,0.89490443,0.9158249,1.2026578,1.0616883,0.9425676,1,1.0124482,1.1828358,0.9966443,1.0087719,0.8939394,1.0258064,0.99122804,0.9849624,1.0448276,1.0092025
2,0,0,0.90301,0.79452056,0.7474049,0.92424244,0.89171976,0.9158249,1.2026578,1.0616883,0.9425676,1,1.0124482,1.1828358,0.9966443,1.0087719,0.89772725,1.0258064,0.99122804,0.9849624,1.0413793,1.0092025
2,0,0,0.90301,0.79452056,0.7474049,0.92424244,0.89171976,0.9158249,1.1993356,1.0616883,0.9391892,1,1.0124482,1.1828358,0.9966443,1.0087719,0.8939394,1.0258064,0.99122804,0.9849624,1.0413793,1.006135
2,0,0,0.90301,0.7979452,0.75086504,0.92424244,0.89171976,0.9158249,1.1960133,1.0616883,0.9425676,1,1.0124482,1.1791044,0.9966443,1.0087719,0.89772725,1.0258064,0.99122804,0.9849624,1.0413793,1.006135
2,0,0,0.9063545,0.80136985,0.7543253,0.92424244,0.89171976,0.9191919,1.1960133,1.0616883,0.9493243,1,1.0124482,1.1791044,0.9966443,1.0116959,0.89772725,1.0258064,0.99122804,0.9887218,1.0448276,1.0092025
2,0,0,0.90301,0.79452056,0.7474049,0.92424244,0.89171976,0.9158249,1.1960133,1.0616883,0.9459459,1,1.0124482,1.1791044,0.9966443,1.0087719,0.89772725,1.0258064,0.99122804,0.981203,1.0413793,1.006135
2,0,0,0.90301,0.79452056,0.75086504,0.92727274,0.89171976,0.9191919,1.1960133,1.0616883,0.9459459,1,1.0124482,1.1791044,0.9966443,1.0087719,0.89772725,1.0258064,0.99415207,0.99248123,1.0448276,1.006135
2,0,0,0.90301,0.79452056,0.7543253,0.92424244,0.89171976,0.9191919,1.1960133,1.0616883,0.9459459,1,1.0124482,1.1753731,0.9966443,1.0087719,0.89772725,1.0258064,0.99415207,0.9849624,1.0448276,1.006135
2,0,0,0.90301,0.79452056,0.7543253,0.92424244,0.888535,0.9191919,1.1960133,1.0616883,0.9425676,1,1.0124482,1.1716418,0.9932886,1.0087719,0.89772725,1.0258064,0.99415207,0.9849624,1.0448276,1.0092025
