Degree,Cols1,Rows1,Finger,Stage,Level,Bend,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7
0,0,0,0,1,0,false,0.9547038,1.006329,0.9435216,0.96938777,1.0030675,1.0130293,0.99071205,0.990625,4,3,0.99025977,0.998994,0.9933775,0.9929578,0.98507464,0.98657715,0.97651005,0.97846156
0,0,0,0,1,1,false,1.2682927,1.0316455,1.0365448,1.0782313,0.69018406,0.64820844,0.91950464,0.8375,4,3,0.95454544,0.998994,0.96357614,0.9683099,0.9761194,0.89261746,0.9362416,0.95076925
0,0,0,0,1,2,false,0.6794425,0.9778481,0.9302326,0.93877554,1.0337423,1.029316,0.95665634,1.03125,4,3,0.8896104,0.998994,0.81456953,0.9084507,0.97313434,1.033557,1.0134228,1.0430769
0,0,0,0,2,0,true,1.3658537,1.0411392,1.0033222,1.0136055,0.8558282,0.7980456,0.95356035,0.95625,4,3,0.90584415,0.998994,0.86092716,0.94014084,0.97313434,0.9966443,0.9899329,1.0276923
0,0,0,0,2,1,true,0.6794425,0.96202534,0.8903654,0.86734694,0.5153374,0.50162864,0.88544893,0.69375,4,3,0.9253247,0.998994,0.9470199,0.94014084,0.99701494,0.75503355,0.8724832,0.8830769
0,0,0,0,2,2,true,1.2222222,1.0513595,1.0581039,1.0482758,0.8954704,0.8631922,0.99659866,0.98293513,4,3,0.93272173,1.0,0.8459119,0.9426752,0.99661016,1.0349207,1.0584615,1.0438871
0,0,0,0,3,1,false,0.993266,0.9728097,0.9785933,0.98275864,0.543554,0.6514658,0.9591837,0.75085324,4,3,0.9785933,1.0,0.9842767,0.98407644,1.0067797,0.9047619,0.9753846,0.95611286
0,0,0,0,3,1,true,0.8047138,0.90332323,0.8562691,0.6586207,0.48083624,0.5863192,0.8503401,0.63822526,4,3,0.9204893,1.0,0.9025157,0.95859873,1.0033898,0.9174603,0.9969231,0.97492164
0,0,0,0,4,0,false,0.95286196,0.9879154,0.9938838,1.0,0.9860627,0.98045605,0.96258503,0.9590444,4,3,0.9510703,1.0,0.9150943,0.96178347,0.9559322,1.0095239,0.9846154,0.97178686
0,0,0,0,4,0,true,0.86531985,0.93655586,0.89908254,0.78965515,0.6794425,0.69381106,0.8605442,0.7610921,4,3,0.88073397,1.0,0.7955975,0.9267516,0.98644066,0.95555556,1.0123076,1.0
0,0,0,0,5,2,false,0.8114478,0.96374625,0.8929664,0.94482756,1.087108,1.0586319,0.96258503,1.0,4,3,0.87461776,1.0,0.7389937,0.8789809,0.96949154,1.0126984,1.0246154,0.97805643
0,0,0,0,5,2,true,0.94612795,0.94561934,0.9266055,0.8586207,0.72125435,0.7166124,0.9013606,0.7849829,4,3,0.8593272,1.0,0.7610063,0.9076433,1.0,0.95555556,0.9969231,0.9811912
0,0,0,1,1,0,false,0.9259259,0.94864047,0.9296636,0.94827586,0.912892,0.8762215,0.89115644,0.8737201,4,3,0.89908254,1.0,0.836478,0.933121,0.9661017,1.0158731,0.9692308,0.94670844
0,0,0,1,1,1,false,1.1111112,1.0060422,0.9938838,1.0413793,0.8954704,0.7947883,0.8707483,0.8737201,4,3,0.9174312,1.0,0.8836478,0.9522293,0.9728814,0.984127,0.95692307,0.94043887
0,0,0,1,1,2,false,0.97643095,0.9939577,1.0336392,1.1310345,0.9825784,0.95114005,0.93877554,0.9283276,4,3,0.88990825,1.0,0.8333333,0.92038214,0.9559322,1.0285715,0.95692307,0.94043887
0,0,0,1,2,0,true,1.1380471,1.0302114,1.0244648,1.0172414,0.9547038,0.8859935,0.89115644,0.8498294,4,3,0.9021407,1.0,0.8553459,0.93949044,0.9661017,0.9936508,0.96307695,0.9529781
0,0,0,1,2,1,true,0.93939394,0.8942598,0.96636087,0.9551724,0.641115,0.534202,0.54761904,0.6109215,4,3,0.9143731,1.0,0.9025157,0.955414,0.98644066,0.9079365,0.93538463,0.9184953
0,0,0,1,2,2,true,0.959596,0.94864047,0.96636087,0.99655175,0.87456447,0.78827363,0.82312924,0.81569964,4,3,0.9204893,1.0,0.9213836,0.9490446,0.96949154,0.95873016,0.94461536,0.9373041
0,0,0,1,3,1,false,1.080808,1.0,0.96330273,1.024138,0.8780488,0.75570035,0.829932,0.8430034,4,3,0.91131496,1.0,0.8773585,0.94585985,0.9728814,0.9714286,0.95692307,0.94670844
0,0,0,1,3,1,true,0.97306395,0.9063444,0.96941894,0.96896553,0.65505224,0.55700326,0.585034,0.6109215,4,3,0.89908254,1.0,0.8773585,0.9490446,0.979661,0.93650794,0.94461536,0.9310345
0,0,0,1,4,0,false,0.9326599,0.94561934,0.9143731,0.92068964,0.8954704,0.8371335,0.8639456,0.85324234,4,3,0.9021407,1.0,0.8522013,0.9299363,0.9559322,1.0095239,0.9692308,0.95924765
0,0,0,1,4,0,true,1.1111112,1.0181268,0.9969419,0.9896552,0.9477352,0.8631922,0.8707483,0.8327645,4,3,0.8929664,1.0,0.8396226,0.9299363,0.95932204,0.9936508,0.96307695,0.9498433
0,0,0,1,5,2,false,0.996633,0.9818731,0.9877676,1.0344827,0.9337979,0.86970687,0.8877551,0.87030715,4,3,0.8593272,1.0,0.7735849,0.8980892,0.9457627,1.0571429,0.97846156,0.9655172
0,0,0,1,5,2,true,0.959596,0.94561934,0.93883795,0.93448275,0.88850176,0.8208469,0.8435374,0.8259386,4,3,0.88379204,1.0,0.836478,0.92038214,0.9559322,1.0,0.96307695,0.9529781
0,0,0,2,1,0,false,0.959596,0.95166165,0.9296636,0.94827586,0.8954704,0.84039086,0.88095236,0.8634812,4,3,0.8868502,1.0,0.8301887,0.92038214,0.9491525,1.0063492,0.95076925,0.9310345
0,0,0,2,1,1,false,1.003367,0.9909366,0.9877676,1.0793103,1.0,0.9674267,1.0068027,0.96245736,4,3,0.8929664,1.0,0.836478,0.9235669,0.95254236,0.9873016,0.94461536,0.9122257
0,0,0,2,1,2,false,0.96633,0.96072507,0.93883795,0.9724138,0.8780488,0.8078176,0.85374147,0.8430034,4,3,0.9082569,1.0,0.8773585,0.9299363,0.9457627,0.95873016,0.92,0.9059561
0,0,0,2,2,0,true,0.9023569,0.92749244,0.89908254,0.9172414,0.92334497,0.86970687,0.88095236,0.8737201,4,3,0.91131496,1.0,0.8867925,0.9490446,0.95254236,0.95238096,0.93538463,0.9216301
