Degree,Cols1,Rows1,Finger,Stage,Level,Bend,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7
0,0,0,0,1,0,false,1.0,0.99356914,1.0,1.0,1.0068729,1.0108303,1.0036496,0.9930556,4,3,1.0068729,1.0069205,1.0064516,1.013245,1.0032573,1.0,1.0,1.0138408
0,0,0,0,1,1,false,0.9268293,0.95498395,0.91039425,0.90429044,0.556701,0.5523466,0.770073,0.6006944,4,3,1.0515463,1.1384083,1.1064516,1.0728477,1.029316,0.95683455,0.9784173,1.0034602
0,0,0,0,1,2,false,1.0174216,1.0192926,1.0250896,1.019802,1.1408935,1.1552347,1.0875913,1.1145834,4,3,1.024055,1.0242214,1.0225806,1.0198675,1.009772,0.98920864,0.9928058,0.9965398
0,0,0,0,2,0,true,0.75958186,0.7909968,0.8422939,0.7920792,0.68728524,0.6353791,0.7810219,0.5972222,4,3,1.0137457,1.083045,1.0612903,1.0430464,1.019544,0.9532374,0.971223,0.9930796
0,0,0,0,2,1,true,0.65505224,0.61093247,0.6630824,0.63366336,0.29896906,0.24909747,0.6605839,0.2847222,4,3,1.0103092,1.1522491,1.0870968,1.0662252,1.0553746,0.9064748,0.96043164,0.97923875
0,0,0,0,2,2,true,1.1881533,1.1672026,1.1146953,1.1749175,1.0343642,1.0830325,1.0656934,1.0972222,4,3,1.0274915,1.0207613,1.0129032,1.0099338,1.0130293,0.9820144,0.9820144,0.982699
0,0,0,0,3,1,false,0.75958186,0.76527333,0.7383512,0.7227723,0.4054983,0.37184116,0.7116788,0.3923611,4,3,1.04811,1.1487889,1.083871,1.0496689,1.0358306,0.89928055,0.9496403,0.97923875
0,0,0,0,3,1,true,0.630662,0.6045016,0.61648744,0.64026403,0.371134,0.28158844,0.689781,0.3263889,4,3,1.0206186,1.1384083,1.067742,1.0397351,1.0456026,0.88129497,0.9496403,0.982699
0,0,0,0,4,0,false,0.8501742,0.89067525,0.9139785,0.8613861,0.9312715,0.9314079,0.9270073,0.9027778,4,3,1.0343642,1.048443,1.0290322,1.0198675,1.019544,0.94244605,0.9640288,0.9965398
0,0,0,0,4,0,true,0.80487806,0.8327974,0.8494624,0.8052805,0.68728524,0.6642599,0.79562044,0.6666667,4,3,1.0171821,1.0588236,1.032258,1.0231788,1.0228013,0.9388489,0.9640288,0.9965398
0,0,0,0,5,2,false,0.92334497,0.9678457,0.97849464,0.9306931,1.1821306,1.2129964,1.0948905,1.1666666,4,3,1.0,0.97231835,0.983871,0.99006623,1.0,1.0035971,1.0035971,0.9930796
